,Molecule,atom 1,atom 2,dipole_moment,electronegativity1,electronegativity2,eletron_affinity1,eletron_affinity2,ionic_potential1,ionic_potential2,ionic_character,Period1,Period2,Group1,Group2,Sum_Ionic,Sum_Affinity,Prod_Ionic,Prod_Affinity,Diff_Ionic,Diff_Affinity,Sum_Electronegativity,Prod_Electronegativity,Diff_Electronegativity,Source,ionic_character_4th_root,Prod_Ionic_Recip,ionic_character_2nd_root,Diff_Ionic_4th_root
11,AgCs,Cs,Ag,9.75,0.79,1.93,0.4715983,1.304,3.8939,7.5762,22.7886,6,5,1,11,11.4701,1.7755983,29.50096518,0.6149641832,3.6823,0.8324017,2.72,1.5247,1.14,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.184889166899016,0.0338971960374348,4.773740671632677,1.3852552092037689
12,AgCu,Ag,Cu,0.037,1.93,1.9,1.304,1.235,7.5762,7.7264,0.48315,5,4,11,11,15.3026,2.539,58.53675168,1.61044,0.1502,0.069,3.83,3.667,0.03,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",0.8337205300580531,0.0170832847963045,0.6950899222402811,0.6225403179726772
13,AgCu,Cu,Ag,0.037,1.9,1.93,1.235,1.304,7.7264,7.5762,0.48315,4,5,11,11,15.3026,2.539,58.53675168,1.61044,0.1502,0.069,3.83,3.667,0.03,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",0.8337205300580531,0.0170832847963045,0.6950899222402811,0.6225403179726772
14,AgF,Ag,F,6.22,1.93,3.98,1.304,3.401,7.5762,17.4228,47.50875,5,2,11,17,24.999,4.705,131.9986174,4.434904,9.8466,2.097,5.91,7.6814,2.05,"J. Hoeft, F.J. Lovas, E. Tiemann, and T. Törring, Z. Naturforsch. 25a, 35 (1970)",2.6253874263683104,0.0075758369269101,6.89265913853282,1.771420123376894
15,AgF,F,Ag,6.22,3.98,1.93,3.401,1.304,17.4228,7.5762,47.50875,2,5,17,11,24.999,4.705,131.9986174,4.434904,9.8466,2.097,5.91,7.6814,2.05,"J. Hoeft, F.J. Lovas, E. Tiemann, and T. Törring, Z. Naturforsch. 25a, 35 (1970)",2.6253874263683104,0.0075758369269101,6.89265913853282,1.771420123376894
16,AgFr,Ag,Fr,9.2,1.93,0.7,1.304,0.486,7.5762,4.0727,24.97515,5,7,11,1,11.6489,1.79,30.85558974,0.633744,3.5035,0.818,2.63,1.351,1.23,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.235512107363858,0.0324090386353445,4.9975143821704,1.3681242173124966
17,AgFr,Fr,Ag,9.2,0.7,1.93,0.486,1.304,4.0727,7.5762,24.97515,7,5,1,11,11.6489,1.79,30.85558974,0.633744,3.5035,0.818,2.63,1.351,1.23,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.235512107363858,0.0324090386353445,4.9975143821704,1.3681242173124966
18,AgH,Ag,H,2.86,1.93,2.2,1.304,0.754,7.5762,13.5984,4.57515,5,1,11,1,21.1746,2.058,103.0241981,0.983216,6.0222,0.55,4.13,4.246,0.27,"Andrzej J. Sadlej, Miroslav Urban,
Mutual dependence of relativistic and electron correlation contributions to molecular properties: the dipole moment of AgH,
Chemical Physics Letters,
Volume 176, Issues 3–4,
1991,
Pages 293-302",1.4625183854150352,0.0097064574968043,2.1389600276770016,1.5665302789460354
19,AgH,H,Ag,2.86,2.2,1.93,0.754,1.304,13.5984,7.5762,4.57515,1,5,1,11,21.1746,2.058,103.0241981,0.983216,6.0222,0.55,4.13,4.246,0.27,"Andrzej J. Sadlej, Miroslav Urban,
Mutual dependence of relativistic and electron correlation contributions to molecular properties: the dipole moment of AgH,
Chemical Physics Letters,
Volume 176, Issues 3–4,
1991,
Pages 293-302",1.4625183854150352,0.0097064574968043,2.1389600276770016,1.5665302789460354
20,AgI,Ag,I,4.55,1.93,2.66,1.304,3.059,7.5762,10.4513,13.54515,5,5,11,17,18.0275,4.363,79.18113906,3.988936,2.8751,1.755,4.59,5.1338,0.73,"Haynes, William M., ed. (2016). CRC Handbook of Chemistry and Physics (97th ed.), p. 9.65",1.918429988907028,0.0126292702008522,3.680373622337819,1.3021566664254083
21,AgI,I,Ag,4.55,2.66,1.93,3.059,1.304,10.4513,7.5762,13.54515,5,5,17,11,18.0275,4.363,79.18113906,3.988936,2.8751,1.755,4.59,5.1338,0.73,"Haynes, William M., ed. (2016). CRC Handbook of Chemistry and Physics (97th ed.), p. 9.65",1.918429988907028,0.0126292702008522,3.680373622337819,1.3021566664254083
22,AgK,Ag,K,8.5,1.93,0.82,1.304,0.501,7.5762,4.3407,22.07235,5,4,11,1,11.9169,1.805,32.88601134,0.653304,3.2355,0.803,2.75,1.5826,1.11,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.167515159165261,0.0304080658995479,4.698121965211206,1.3411746961788953
23,AgK,K,Ag,8.5,0.82,1.93,0.501,1.304,4.3407,7.5762,22.07235,4,5,1,11,11.9169,1.805,32.88601134,0.653304,3.2355,0.803,2.75,1.5826,1.11,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.167515159165261,0.0304080658995479,4.698121965211206,1.3411746961788953
24,AgLi,Ag,Li,5.21,1.93,0.98,1.304,0.618,7.5762,5.3917,18.35875,5,2,11,1,12.9679,1.922,40.84859754,0.805872,2.1845,0.686,2.91,1.8914,0.95,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.069954393732913,0.0244806446297397,4.284711192134191,1.2157324593470311
25,AgLi,Li,Ag,5.21,0.98,1.93,0.618,1.304,5.3917,7.5762,18.35875,2,5,1,11,12.9679,1.922,40.84859754,0.805872,2.1845,0.686,2.91,1.8914,0.95,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.069954393732913,0.0244806446297397,4.284711192134191,1.2157324593470311
26,AgMg,Ag,Mg,1.09,1.93,1.31,1.304,-0.4,7.5762,7.6462,11.2654,5,3,11,2,15.2224,0.904,57.92914044,-0.5216,0.07,1.704,3.24,2.5283,0.62,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",1.83204718214502,0.0172624691546346,3.3563968776055075,0.5143686723610401
27,AgMg,Mg,Ag,1.09,1.31,1.93,-0.4,1.304,7.6462,7.5762,11.2654,3,5,2,11,15.2224,0.904,57.92914044,-0.5216,0.07,1.704,3.24,2.5283,0.62,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",1.83204718214502,0.0172624691546346,3.3563968776055075,0.5143686723610401
28,AgNa,Ag,Na,5.98,1.93,0.93,1.304,0.547,7.5762,5.1391,19.5,5,3,11,1,12.7153,1.851,38.93484942,0.713288,2.4371,0.757,2.86,1.7949,1.0,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.101399636709763,0.0256839313596092,4.415880433163924,1.2494484350386919
29,AgNa,Na,Ag,5.98,0.93,1.93,0.547,1.304,5.1391,7.5762,19.5,3,5,1,11,12.7153,1.851,38.93484942,0.713288,2.4371,0.757,2.86,1.7949,1.0,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.101399636709763,0.0256839313596092,4.415880433163924,1.2494484350386919
30,AgRa,Ag,Ra,5.08,1.93,0.9,1.304,0.1,7.5762,5.2784,20.19315,5,7,11,2,12.8546,1.404,39.99021408,0.1304,2.2978,1.204,2.83,1.737,1.03,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.119829920945325,0.0250061176966822,4.493678893735066,1.2311984392293711
31,AgRa,Ra,Ag,5.08,0.9,1.93,0.1,1.304,5.2784,7.5762,20.19315,7,5,2,11,12.8546,1.404,39.99021408,0.1304,2.2978,1.204,2.83,1.737,1.03,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.119829920945325,0.0250061176966822,4.493678893735066,1.2311984392293711
32,AgRb,Ag,Rb,9.03,1.93,0.82,1.304,0.485,7.5762,4.1771,22.07235,5,5,11,1,11.7533,1.789,31.64654502,0.63244,3.3991,0.819,2.75,1.5826,1.11,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.167515159165261,0.0315990260348489,4.698121965211206,1.3578161983645798
33,AgRb,Rb,Ag,9.03,0.82,1.93,0.485,1.304,4.1771,7.5762,22.07235,5,5,1,11,11.7533,1.789,31.64654502,0.63244,3.3991,0.819,2.75,1.5826,1.11,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.167515159165261,0.0315990260348489,4.698121965211206,1.3578161983645798
34,AgSr,Ag,Sr,3.57,1.93,0.95,1.304,0.052,7.5762,5.6949,19.0414,5,5,11,2,13.2711,1.356,43.14570138,0.067808,1.8813,1.252,2.88,1.8335,0.98,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.0889340021030907,0.0231772799610471,4.363645265142436,1.1711553694445611
35,AgSr,Sr,Ag,3.57,0.95,1.93,0.052,1.304,5.6949,7.5762,19.0414,5,5,2,11,13.2711,1.356,43.14570138,0.067808,1.8813,1.252,2.88,1.8335,0.98,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.0889340021030907,0.0231772799610471,4.363645265142436,1.1711553694445611
36,AlCl,Al,Cl,1.68,1.61,3.16,0.441,3.617,5.986,12.968,33.20875,3,3,13,17,18.954,4.058,77.626448,1.595097,6.982,3.176,4.77,5.0876,1.55,"Li-Ren Liu, Miguel Aguirre, Stephen R. Kane, Brian K. Kendrick, and Boerge Hemmerling, Measurement of the electric dipole moment of AlCl by Stark-level spectroscopy, Physical Review A, vol. 111, no. 6, p. 062810, June 2025. DOI: 10.1103/hwwm-1mn7.",2.400563133655872,0.0128822073631399,5.762703358667701,1.625529895510057
37,AlCl,Cl,Al,1.68,3.16,1.61,3.617,0.441,12.968,5.986,33.20875,3,3,17,13,18.954,4.058,77.626448,1.595097,6.982,3.176,4.77,5.0876,1.55,"Li-Ren Liu, Miguel Aguirre, Stephen R. Kane, Brian K. Kendrick, and Boerge Hemmerling, Measurement of the electric dipole moment of AlCl by Stark-level spectroscopy, Physical Review A, vol. 111, no. 6, p. 062810, June 2025. DOI: 10.1103/hwwm-1mn7.",2.400563133655872,0.0128822073631399,5.762703358667701,1.625529895510057
38,AlF,Al,F,1.515,1.61,3.98,0.432,3.401,5.9858,17.4228,57.57915,3,2,13,17,23.4086,3.833,104.2893962,1.469232,11.437,2.969,5.59,6.4078,2.37,"D.R. Lide, Jr., J. Chem. Phys. 42, 1013 (1965).",2.754649278169188,0.0095887025568952,7.588092645718026,1.8389843369866328
39,AlF,F,Al,1.515,3.98,1.61,3.401,0.432,17.4228,5.9858,57.57915,2,3,17,13,23.4086,3.833,104.2893962,1.469232,11.437,2.969,5.59,6.4078,2.37,"D.R. Lide, Jr., J. Chem. Phys. 42, 1013 (1965).",2.754649278169188,0.0095887025568952,7.588092645718026,1.8389843369866328
40,AuCl,Au,Cl,3.69,2.54,3.16,2.308,3.612,9.2255,12.9676,11.2654,6,3,11,17,22.1931,5.92,119.6325938,8.336496,3.7421,1.304,5.7,8.0264,0.62,"Zhang, R., Steimle, T. C., Cheng, L., & Stanton, J. F. (2015). The permanent electric dipole moment of gold chloride, AuCl. Molecular Physics, 113(15–16), 2073–2080. https://doi.org/10.1080/00268976.2014.996619",1.83204718214502,0.0083589260103461,3.3563968776055075,1.3908453639647096
41,AuCl,Au,Cl,3.69,2.54,3.16,2.308,3.612,9.2255,12.9676,11.2654,6,3,11,17,22.1931,5.92,119.6325938,8.336496,3.7421,1.304,5.7,8.0264,0.62,"Zhang, R., Steimle, T. C., Cheng, L., & Stanton, J. F. (2015). The permanent electric dipole moment of gold chloride, AuCl. Molecular Physics, 113(15–16), 2073–2080. https://doi.org/10.1080/00268976.2014.996619",1.83204718214502,0.0083589260103461,3.3563968776055075,1.3908453639647096
42,AuF,Au,F,4.32,2.54,3.98,2.308,3.401,9.2255,17.4228,30.2976,6,2,11,17,26.6483,5.709,160.7340414,7.849508,8.1973,1.093,6.52,10.1092,1.44,"T. C. Steimle, R. Zhang, C. Qin and T. D. Varberg, J. Phys. Chem. A, 2013, 117, 11737–11744 ",2.3461299136591443,0.006221457454127,5.504325571766263,1.6920675912597694
43,AuF,F,Au,4.32,3.98,2.54,3.401,2.308,17.4228,9.2255,30.2976,2,6,17,11,26.6483,5.709,160.7340414,7.849508,8.1973,1.093,6.52,10.1092,1.44,"T. C. Steimle, R. Zhang, C. Qin and T. D. Varberg, J. Phys. Chem. A, 2013, 117, 11737–11744 ",2.3461299136591443,0.006221457454127,5.504325571766263,1.6920675912597694
44,AuO,Au,O,2.94,2.54,3.44,2.308,1.461,9.2255,13.6181,17.235,6,2,11,16,22.8436,3.769,125.6337816,3.371988,4.3926,0.847,5.98,8.7376,0.9,"Ruohan Zhang, Yuanqin Yu, Timothy C. Steimle, Lan Cheng; The electric dipole moments in the ground states of gold oxide, AuO, and gold sulfide, AuS. J. Chem. Phys. 14 February 2017; 146 (6): 064307. https://doi.org/10.1063/1.4975816",2.037524417259684,0.0079596425998212,4.151505750929414,1.4477061332617478
45,AuO,O,Au,2.94,3.44,2.54,1.461,2.308,13.6181,9.2255,17.235,2,6,16,11,22.8436,3.769,125.6337816,3.371988,4.3926,0.847,5.98,8.7376,0.9,"Ruohan Zhang, Yuanqin Yu, Timothy C. Steimle, Lan Cheng; The electric dipole moments in the ground states of gold oxide, AuO, and gold sulfide, AuS. J. Chem. Phys. 14 February 2017; 146 (6): 064307. https://doi.org/10.1063/1.4975816",2.037524417259684,0.0079596425998212,4.151505750929414,1.4477061332617478
46,AuS,Au,S,2.22,2.54,2.58,2.308,2.077,9.2255,10.36,0.6456,6,3,11,16,19.5855,4.385,95.57618,4.793716,1.1345,0.231,5.12,6.5532,0.04,"Ruohan Zhang, Yuanqin Yu, Timothy C. Steimle, Lan Cheng; The electric dipole moments in the ground states of gold oxide, AuO, and gold sulfide, AuS. J. Chem. Phys. 14 February 2017; 146 (6): 064307. https://doi.org/10.1063/1.4975816",0.8963773630921447,0.0104628580049966,0.8034923770640267,1.0320509193622223
47,AuS,S,Au,2.22,2.58,2.54,2.077,2.308,10.36,9.2255,0.6456,3,6,16,11,19.5855,4.385,95.57618,4.793716,1.1345,0.231,5.12,6.5532,0.04,"Ruohan Zhang, Yuanqin Yu, Timothy C. Steimle, Lan Cheng; The electric dipole moments in the ground states of gold oxide, AuO, and gold sulfide, AuS. J. Chem. Phys. 14 February 2017; 146 (6): 064307. https://doi.org/10.1063/1.4975816",0.8963773630921447,0.0104628580049966,0.8034923770640267,1.0320509193622223
48,BaF,Ba,F,3.17,0.89,3.98,0.144,3.401,5.2117,17.4228,82.85835,6,2,2,17,22.6345,3.545,90.80240676,0.489744,12.2111,3.257,4.87,3.5422,3.09,"W. E. Ernst, J. Kändler, T. Törring; Hyperfine structure and electric dipole moment of BaF X 2Σ+. J. Chem. Phys. 1 May 1986; 84 (9): 4769–4773. https://doi.org/10.1063/1.449961",3.0170608554925877,0.011012923948625,9.102656205745662,1.8693417125911669
49,BaF,F,Ba,3.17,3.98,0.89,3.401,0.144,17.4228,5.2117,82.85835,2,6,17,2,22.6345,3.545,90.80240676,0.489744,12.2111,3.257,4.87,3.5422,3.09,"W. E. Ernst, J. Kändler, T. Törring; Hyperfine structure and electric dipole moment of BaF X 2Σ+. J. Chem. Phys. 1 May 1986; 84 (9): 4769–4773. https://doi.org/10.1063/1.449961",3.0170608554925877,0.011012923948625,9.102656205745662,1.8693417125911669
50,BaO,Ba,O,7.954,0.89,3.44,0.144,1.461,5.2117,13.6181,63.55875,6,2,2,16,18.8298,1.605,70.97345177,0.210384,8.4064,1.317,4.33,3.0616,2.55,"L. Wharton and W. Klemperer, J. Chem. Phys. 38, 2705 (1963).",2.82353929950781,0.0140897754732381,7.972374175865054,1.7027563665736856
51,BaO,Ba,O,7.954,0.89,3.44,0.144,1.461,5.2117,13.6181,63.55875,6,2,2,16,18.8298,1.605,70.97345177,0.210384,8.4064,1.317,4.33,3.0616,2.55,"L. Wharton and W. Klemperer, J. Chem. Phys. 38, 2705 (1963).",2.82353929950781,0.0140897754732381,7.972374175865054,1.7027563665736856
52,BaRa,Ba,Ra,0.43,0.89,0.9,0.144,0.1,5.2117,5.2784,0.16035,6,7,2,2,10.4901,0.244,27.50943728,0.0144,0.0667,0.044,1.79,0.801,0.01,"Hela Ladjimi and Michał Tomza, Diatomic molecules of alkali-metal and alkaline-earth-metal atoms: Interaction potentials, dipole moments, and polarizabilities, Physical Review A, vol. 109, no. 5, p. 052814, May 2024. DOI: 10.1103/PhysRevA.109.052814.",0.6328011227893946,0.0363511615967158,0.4004372610035185,0.5081962528422451
53,BaRa,Ra,Ba,0.43,0.9,0.89,0.1,0.144,5.2784,5.2117,0.16035,7,6,2,2,10.4901,0.244,27.50943728,0.0144,0.0667,0.044,1.79,0.801,0.01,"Hela Ladjimi and Michał Tomza, Diatomic molecules of alkali-metal and alkaline-earth-metal atoms: Interaction potentials, dipole moments, and polarizabilities, Physical Review A, vol. 109, no. 5, p. 052814, May 2024. DOI: 10.1103/PhysRevA.109.052814.",0.6328011227893946,0.0363511615967158,0.4004372610035185,0.5081962528422451
54,BaS,Ba,S,10.86,0.89,2.58,0.144,2.077,5.2117,10.36,37.03635,6,3,2,16,15.5717,2.221,53.993212,0.299088,5.1483,1.933,3.47,2.2962,1.69,"C.A. Melendres, A.J. Hebert, and K. Street, Jr., J. Chem. Phys. 51, 855 (1969).",2.4669312411146813,0.0185208466575391,6.085749748387622,1.506315557217421
55,BaS,Ba,S,10.86,0.89,2.58,0.144,2.077,5.2117,10.36,37.03635,6,3,2,16,15.5717,2.221,53.993212,0.299088,5.1483,1.933,3.47,2.2962,1.69,"C.A. Melendres, A.J. Hebert, and K. Street, Jr., J. Chem. Phys. 51, 855 (1969).",2.4669312411146813,0.0185208466575391,6.085749748387622,1.506315557217421
56,BeBa,Be,Ba,0.6,1.57,0.89,-0.5,0.144,9.3227,5.2117,12.4984,2,6,2,2,14.5344,-0.356,48.58711559,-0.072,4.111,0.644,2.46,1.3973,0.68,"Hela Ladjimi and Michał Tomza, Diatomic molecules of alkali-metal and alkaline-earth-metal atoms: Interaction potentials, dipole moments, and polarizabilities, Physical Review A, vol. 109, no. 5, p. 052814, May 2024. DOI: 10.1103/PhysRevA.109.052814.",1.8802413740053483,0.020581588099167,3.535307624521521,1.4239241939383755
57,BeBa,Ba,Be,0.6,0.89,1.57,0.144,-0.5,5.2117,9.3227,12.4984,6,2,2,2,14.5344,-0.356,48.58711559,-0.072,4.111,0.644,2.46,1.3973,0.68,"Hela Ladjimi and Michał Tomza, Diatomic molecules of alkali-metal and alkaline-earth-metal atoms: Interaction potentials, dipole moments, and polarizabilities, Physical Review A, vol. 109, no. 5, p. 052814, May 2024. DOI: 10.1103/PhysRevA.109.052814.",1.8802413740053483,0.020581588099167,3.535307624521521,1.4239241939383755
